date,rainfall_sapporo,sunlight_sapporo,snowfall_sapporo,avewind_sapporo,rainfall_tokyo,sunlight_tokyo,snowfall_tokyo,avewind_tokyo
2019年1月1日,1,1.3,4,2.8,--,8.9,--,2.3
2019年1月2日,0,4.9,--,2,--,8.7,--,2.9
2019年1月3日,0,0.4,--,2.8,--,8.9,--,3.1
2019年1月4日,0.5,1.2,1,2.3,--,8.9,--,2
2019年1月5日,5.5,3.2,13,4.9,--,8.9,--,2.1
2019年1月6日,3.5,4.2,7,4.6,--,2.7,--,3
2019年1月7日,3.5,3.6,3,2.9,--,8.8,--,2.8
2019年1月8日,0,3.7,--,2.1,--,8.5,--,1.6
2019年1月9日,3,4.7,6,4.3,--,9,--,4.7
2019年1月10日,2,6.1,4,3.9,--,1.8,--,1.8
2019年1月11日,15,0.3,20,3.8,--,8.8,--,2.9
2019年1月12日,0.5,1.1,--,3.6,0,0,--,2
2019年1月13日,0,6.9,--,1.2,0,6.6,--,2.2
2019年1月14日,0,8,--,1.7,--,9.1,--,2
2019年1月15日,3.5,0.1,--,5.1,0.5,2.9,--,2.3
2019年1月16日,2,6.3,7,3.4,--,6.8,--,2.9
2019年1月17日,6,0,5,3.7,--,8.8,--,2.2
2019年1月18日,6,2.7,9,6.4,--,9.2,--,3.9
2019年1月19日,0,6.8,--,3.8,--,9,--,2.5
2019年1月20日,1,0.1,2,3.3,--,8.1,--,2.4
2019年1月21日,0.5,4.9,1,4.1,--,9.2,--,3.2
2019年1月22日,--,6.6,--,2.9,--,8.7,--,2.7
2019年1月23日,4.5,2.8,12,4,--,9,--,2.6
2019年1月24日,4,0.1,1,6.1,--,9.2,--,4.4
2019年1月25日,13,0.1,13,4.3,--,3.5,--,3
2019年1月26日,2.5,2,3,1.9,--,6.1,--,4.4
2019年1月27日,0,6,1,1.4,--,9.4,--,4.4
2019年1月28日,1.5,1.7,1,4.9,--,5,--,2.6
2019年1月29日,2,0.8,2,4.7,--,9.3,--,5.3
2019年1月30日,0.5,5.5,--,2.9,--,8.4,--,1.9
2019年1月31日,4.5,6.4,10,5.6,15.5,0,--,1.9
2019年2月1日,0.5,5.9,1,6.5,--,9.4,--,4.1
2019年2月2日,1.5,5.8,1,5.5,--,9.5,--,2
2019年2月3日,0,6.3,--,3.2,--,8.5,--,2.1
2019年2月4日,2.5,0.7,2,6.3,0,8.9,--,4.3
2019年2月5日,1,4.8,3,3.5,0,0,--,2.4
2019年2月6日,6,0,14,2.1,15,0.5,--,2.3
2019年2月7日,7,0,11,3.9,--,6.6,--,2.2
2019年2月8日,0,1.4,--,5,--,3.5,--,3.8
2019年2月9日,0.5,2.3,--,2,2,0,--,2.6
2019年2月10日,0,5.6,--,3,0,8.7,--,2.9
2019年2月11日,0,7.1,--,2.6,0,0,--,1.8
2019年2月12日,1,5.2,2,3.1,--,4.9,--,2.7
2019年2月13日,0.5,4.6,2,3.4,0,1.1,--,2.2
2019年2月14日,4,3.4,5,4.4,--,7.4,--,3.8
2019年2月15日,0,4.9,--,2.1,0,0,--,2
2019年2月16日,0.5,1.9,--,2.5,--,6,--,2.3
2019年2月17日,0,0,--,2.3,--,6.4,--,3.8
2019年2月18日,0.5,4.7,1,4.5,--,9.9,--,2.4
2019年2月19日,0,0.4,--,2,1.5,0,--,2
2019年2月20日,1.5,0,1,1.8,0.5,6.5,--,2.3
2019年2月21日,1.5,7,2,2.2,0,7,--,3.9
2019年2月22日,0,8.5,--,2.3,--,7.9,--,2.5
2019年2月23日,1.5,1.3,3,2.7,0,8.2,--,4
2019年2月24日,--,8.8,--,2.9,--,9.3,--,2.6
2019年2月25日,1.5,3.5,3,3.4,0,4.1,--,1.8
2019年2月26日,1,3,1,3.5,0,2.4,--,2.6
2019年2月27日,0,10,--,2.3,0.5,1.3,--,2
2019年2月28日,--,7,--,1.7,22.5,0,--,2.3
2019年3月1日,0,7.5,--,2.3,1.5,2.4,--,2
2019年3月2日,0,0.8,1,3.9,--,9.6,--,3.6
2019年3月3日,0,10.1,--,2.8,13.5,0,--,2.7
2019年3月4日,0,5.8,--,3.8,27.5,0,--,3.5
2019年3月5日,--,9.1,--,3.6,0.5,9.1,--,2.4
2019年3月6日,0,2.6,--,3,3,0,--,1.5
2019年3月7日,--,10.1,--,3.5,28,0,--,2.6
2019年3月8日,0,5.9,1,2.7,--,11.3,--,4.8
2019年3月9日,0.5,3.4,--,4,--,11.3,--,3.6
2019年3月10日,--,10.3,--,3.6,6.5,3.5,--,2
2019年3月11日,0,0,--,4.3,32,4.3,--,3.5
2019年3月12日,3,1,--,5.3,--,8.5,--,3
2019年3月13日,3,0.7,--,3.3,--,9.1,--,3.6
2019年3月14日,2.5,8.1,3,3.5,--,8.8,--,2.4
2019年3月15日,1,2.7,1,2.7,--,9.8,--,3.2
2019年3月16日,6.5,0.6,8,3.3,0,2.8,--,2.4
2019年3月17日,0,3,--,3.3,0,9.1,--,2.7
2019年3月18日,--,9.5,--,3.1,--,10.9,--,3.2
2019年3月19日,0,5.9,--,2.9,--,8.2,--,2.2
2019年3月20日,--,9,--,4.6,--,10.9,--,2.7
2019年3月21日,1.5,0,--,4.6,0,6,--,5.9
2019年3月22日,6,2,--,8.1,0,5.5,--,3.7
2019年3月23日,4.5,3.2,8,3.6,0,0,--,3.2
2019年3月24日,2.5,2.7,4,3.5,--,10.7,--,2.5
2019年3月25日,0,8.4,--,3.7,--,7.3,--,2.4
2019年3月26日,1,5.5,--,3.9,0,3.8,--,2.1
2019年3月27日,5.5,5,6,4.7,--,10.8,--,4.3
2019年3月28日,1,4.8,1,4.8,0,1.4,--,3.4
2019年3月29日,0.5,5.4,--,4.5,0,0,--,2.6
2019年3月30日,--,9.8,--,2.5,3.5,0,--,2.2
2019年3月31日,--,4.4,--,3.2,1.5,2.2,--,2.2
2019年4月1日,0,5.3,--,2.4,5.5,6.2,--,3.1
2019年4月2日,1,1.4,--,3.4,0,7.2,--,3.1
2019年4月3日,1.5,7.3,1,3.8,--,12,--,3.8
