x,color,date
0,black,2020/1/16
0,black,2020/1/17
0,blue,2020/1/18
0,red,2020/1/19
0,black,2020/1/20
0,black,2020/1/21
0,black,2020/1/22
0,black,2020/1/23
0,black,2020/1/24
0,blue,2020/1/25
0,red,2020/1/26
0,black,2020/1/27
0,black,2020/1/28
1,black,2020/1/29
0,black,2020/1/30
0,black,2020/1/31
0,blue,2020/2/1
0,red,2020/2/2
0,black,2020/2/3
0,black,2020/2/4
0,black,2020/2/5
0,black,2020/2/6
0,black,2020/2/7
0,blue,2020/2/8
0,red,2020/2/9
0,black,2020/2/10
0,black,2020/2/11
0,black,2020/2/12
0,black,2020/2/13
0,black,2020/2/14
0,blue,2020/2/15
0,red,2020/2/16
0,black,2020/2/17
0,black,2020/2/18
0,black,2020/2/19
0,black,2020/2/20
0,black,2020/2/21
0,blue,2020/2/22
0,red,2020/2/23
0,black,2020/2/24
0,black,2020/2/25
0,black,2020/2/26
1,black,2020/2/27
2,black,2020/2/28
0,blue,2020/2/29
0,red,2020/3/1
2,black,2020/3/2
2,black,2020/3/3
9,black,2020/3/4
1,black,2020/3/5
13,black,2020/3/6
10,blue,2020/3/7
14,red,2020/3/8
0,black,2020/3/9
18,black,2020/3/10
7,black,2020/3/11
9,black,2020/3/12
3,black,2020/3/13
10,blue,2020/3/14
4,red,2020/3/15
2,black,2020/3/16
4,black,2020/3/17
5,black,2020/3/18
2,black,2020/3/19
4,black,2020/3/20
2,blue,2020/3/21
6,red,2020/3/22
3,black,2020/3/23
8,black,2020/3/24
7,black,2020/3/25
7,black,2020/3/26
20,black,2020/3/27
15,blue,2020/3/28
17,red,2020/3/29
8,black,2020/3/30
28,black,2020/3/31
34,black,2020/4/1
33,black,2020/4/2
35,black,2020/4/3
41,blue,2020/4/4
21,red,2020/4/5
20,black,2020/4/6
53,black,2020/4/7
43,black,2020/4/8
92,black,2020/4/9
80,black,2020/4/10
70,blue,2020/4/11
45,red,2020/4/12
24,black,2020/4/13
59,black,2020/4/14
74,black,2020/4/15
52,black,2020/4/16
55,black,2020/4/17
88,blue,2020/4/18
48,red,2020/4/19
84,black,2020/4/20
54,black,2020/4/21
31,black,2020/4/22
35,black,2020/4/23
31,black,2020/4/24
29,blue,2020/4/25
16,red,2020/4/26
30,black,2020/4/27
32,black,2020/4/28
44,black,2020/4/29
28,black,2020/4/30
14,black,2020/5/1
17,blue,2020/5/2
10,red,2020/5/3
13,black,2020/5/4
7,black,2020/5/5
12,black,2020/5/6
8,black,2020/5/7
10,black,2020/5/8
16,blue,2020/5/9
11,red,2020/5/10
1,black,2020/5/11
6,black,2020/5/12
12,black,2020/5/13
3,black,2020/5/14
3,black,2020/5/15
2,blue,2020/5/16
0,red,2020/5/17
1,black,2020/5/18
3,black,2020/5/19
3,black,2020/5/20
3,black,2020/5/21
1,black,2020/5/22
0,blue,2020/5/23
0,red,2020/5/24
0,black,2020/5/25
0,black,2020/5/26
1,black,2020/5/27
0,black,2020/5/28
0,black,2020/5/29
0,blue,2020/5/30
1,red,2020/5/31
0,black,2020/6/1
0,black,2020/6/2
0,black,2020/6/3
0,black,2020/6/4
0,black,2020/6/5
1,blue,2020/6/6
1,red,2020/6/7
0,black,2020/6/8
0,black,2020/6/9
0,black,2020/6/10
1,black,2020/6/11
0,black,2020/6/12
0,blue,2020/6/13
1,red,2020/6/14
0,black,2020/6/15
3,black,2020/6/16
4,black,2020/6/17
4,black,2020/6/18
2,black,2020/6/19
6,blue,2020/6/20
3,red,2020/6/21
0,black,2020/6/22
0,black,2020/6/23
2,black,2020/6/24
1,black,2020/6/25
2,black,2020/6/26
2,blue,2020/6/27
5,red,2020/6/28
7,black,2020/6/29
5,black,2020/6/30
10,black,2020/7/1
8,black,2020/7/2
11,black,2020/7/3
17,blue,2020/7/4
6,red,2020/7/5
8,black,2020/7/6
12,black,2020/7/7
10,black,2020/7/8
30,black,2020/7/9
22,black,2020/7/10
28,blue,2020/7/11
32,red,2020/7/12
18,black,2020/7/13
20,black,2020/7/14
61,black,2020/7/15
66,black,2020/7/16
53,black,2020/7/17
86,blue,2020/7/18
89,red,2020/7/19
49,black,2020/7/20
72,black,2020/7/21
121,black,2020/7/22
104,black,2020/7/23
149,black,2020/7/24
132,blue,2020/7/25
141,red,2020/7/26
86,black,2020/7/27
155,black,2020/7/28
221,black,2020/7/29
190,black,2020/7/30
216,black,2020/7/31
195,blue,2020/8/1
194,red,2020/8/2
81,black,2020/8/3
193,black,2020/8/4
196,black,2020/8/5
225,black,2020/8/6
255,black,2020/8/7
178,blue,2020/8/8
195,red,2020/8/9
123,black,2020/8/10
101,black,2020/8/11
184,black,2020/8/12
177,black,2020/8/13
192,black,2020/8/14
151,blue,2020/8/15
147,red,2020/8/16
71,black,2020/8/17
185,black,2020/8/18
187,black,2020/8/19
132,black,2020/8/20
166,black,2020/8/21
134,blue,2020/8/22
121,red,2020/8/23
60,black,2020/8/24
119,black,2020/8/25
119,black,2020/8/26
94,black,2020/8/27
106,black,2020/8/28
90,blue,2020/8/29
62,red,2020/8/30
53,black,2020/8/31
114,black,2020/9/1
96,black,2020/9/2
74,black,2020/9/3
74,black,2020/9/4
76,blue,2020/9/5
67,red,2020/9/6
45,black,2020/9/7
81,black,2020/9/8
63,black,2020/9/9
92,black,2020/9/10
120,black,2020/9/11
83,blue,2020/9/12
77,red,2020/9/13
32,black,2020/9/14
89,black,2020/9/15
78,black,2020/9/16
57,black,2020/9/17
60,black,2020/9/18
81,blue,2020/9/19
59,red,2020/9/20
39,black,2020/9/21
67,black,2020/9/22
39,black,2020/9/23
66,black,2020/9/24
62,black,2020/9/25
66,blue,2020/9/26
48,red,2020/9/27
36,black,2020/9/28
51,black,2020/9/29
59,black,2020/9/30
76,black,2020/10/1
50,black,2020/10/2
51,blue,2020/10/3
39,red,2020/10/4
31,black,2020/10/5
59,black,2020/10/6
